GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minicp:minicp,minicp.engine.constraints,MaximumMatching,218,165,34,12,36,31,22,7,4,2
minicp:minicp,minicp.util.exception,InvalidSolutionException,12,0,0,0,5,0,3,0,3,0
minicp:minicp,minicp.util.exception,IntOverFlowException,10,4,0,0,1,2,1,1,1,1
minicp:minicp,minicp.util.exception,NotImplementedException,17,7,0,0,2,4,1,2,1,2
minicp:minicp,minicp.util.exception,InconsistencyException,2,10,0,0,1,3,1,3,1,3
minicp:minicp,minicp.util,GraphUtil.new GraphUtil.Graph() {...},9,11,0,0,2,2,2,2,2,2
minicp:minicp,minicp.util,GraphUtil,3,196,0,24,1,45,1,19,1,7
minicp:minicp,minicp.util.io,InputReader,103,105,13,11,27,24,8,10,1,5
minicp:minicp,minicp.state,TrailMap,17,0,0,0,4,0,3,0,3,0
minicp:minicp,minicp.state,StateInterval,176,0,14,0,29,0,20,0,13,0
minicp:minicp,minicp.state,Trail.TrailStateEntry,0,16,0,0,0,5,0,2,0,2
minicp:minicp,minicp.state,CopyInt,0,5,0,0,0,2,0,1,0,1
minicp:minicp,minicp.state,Copier.Backup,0,48,0,4,0,9,0,4,0,2
minicp:minicp,minicp.state,Trailer.Backup,0,12,0,2,0,5,0,3,0,2
minicp:minicp,minicp.state,Copy,4,21,0,0,1,7,1,4,1,4
minicp:minicp,minicp.state,Trailer,18,113,1,3,5,32,3,13,2,12
minicp:minicp,minicp.state,StateSparseBitSet,138,120,16,4,19,19,12,7,4,5
minicp:minicp,minicp.state,Trail,10,55,0,4,1,16,1,6,1,4
minicp:minicp,minicp.state,Copier,28,94,1,3,8,28,4,11,3,10
minicp:minicp,minicp.state,StateStack,0,52,0,2,0,11,0,5,0,4
minicp:minicp,minicp.state,Copy.CopyStateEntry,0,16,0,0,0,5,0,2,0,2
minicp:minicp,minicp.state,CopyMap,29,0,0,0,7,0,5,0,5,0
minicp:minicp,minicp.state,StateInt,0,24,0,0,0,2,0,2,0,2
minicp:minicp,minicp.state,StateSparseBitSet.BitSet,54,26,6,0,6,6,5,2,2,2
minicp:minicp,minicp.state,StateSparseSet,105,467,22,64,14,94,21,43,1,20
minicp:minicp,minicp.state,TrailInt,0,6,0,0,0,2,0,1,0,1
minicp:minicp,minicp.state,StateSparseBitSet.SupportBitSet,0,10,0,0,0,4,0,1,0,1
minicp:minicp,minicp.state,StateLazySparseSet,3,0,0,0,1,0,1,0,1,0
minicp:minicp,minicp.state,StateSparseBitSet.MaskBitSet,86,7,6,0,9,3,6,1,3,1
